AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 2.84459 -0.151393 -0.0628101 -0.119086 0.0187227 0
1 1 2.84555 -0.151837 -0.0633144 -0.114031 0.0231105 -170.654
1 2 2.84845 -0.151422 -0.062495 -0.106329 0.0285422 -170.653
2 0 -0.903769 -0.0192317 -0.108944 -0.0336237 0.0036932 0
2 1 -0.902915 -0.0191412 -0.109243 -0.0371405 0.00623249 -113.952
2 2 -0.904155 -0.0202629 -0.109644 -0.0351239 0.00432491 -113.951
3 0 3.59807 -0.085858 -0.0199467 -0.0689084 0.00894549 0
3 1 3.60008 -0.0855261 -0.0201031 -0.0667211 0.0108449 76.0294
3 2 3.60123 -0.0847327 -0.0183837 -0.0572494 0.0171274 76.0287
4 0 2.37533 0.123138 0.0474322 0.0797016 0.0432361 0
4 1 2.37533 0.122792 0.046715 0.0863793 0.0347621 -176.774
4 2 2.3737 0.122281 0.0463205 0.0839241 0.0371236 -176.772
5 0 4.67722 -0.0933025 -0.0492293 -0.0741919 0.0168938 0
5 1 4.6777 -0.0937908 -0.0496174 -0.0773655 0.0137643 -90.0642
5 2 4.6777 -0.0936301 -0.0494907 -0.0758348 0.0153418 -90.0642
6 0 5.59988 0.0760375 0.0363759 0.0628459 0.00977462 0
6 1 5.59834 0.0768156 0.0359782 0.0584049 0.014408 89.9386
6 2 5.59787 0.0754865 0.035632 0.0570134 0.0156057 89.9391
